12/19/2017,FREEDOM MOBILE INC,91.69,,1381.09
12/19/2017,Spotify P045D832F2,9.99,,1391.08
12/19/2017,Spotify P045D68D3A,9.99,,1401.07
12/19/2017,CREDIT AND HAIR WE ARE,35.99,,1437.06
12/20/2017,THE CO OPERATORS PL GU ON,140.50,,1577.56
12/22/2017,MCDONALD'S #3870,5.12,,1582.68
12/29/2017,MONTANAS COOKHOUSE 302,31.03,,1613.71
12/29/2017,22638 MACS CONV. STORES,5.12,,1618.83
12/30/2017,THE HOME DEPOT #7117,,31.86,1586.97
12/30/2017,FANTASYLAND HOTEL,195.11,,1782.08
12/31/2017,SAFEWAY #8904,20.60,,1802.68
01/01/2018,OLD SPAGHETTI DT EDMONTON,99.15,,1901.83
01/01/2018,EDM EPARK PAY MACHINE,1.00,,1902.83
01/02/2018,REMEDY ON 109TH ST.,11.29,,1914.12
01/03/2018,22638 MACS CONV. STORES,10.13,,1924.25
01/05/2018,DIRECT ENERGY,292.63,,2216.88
01/05/2018,PAYMENT - THANK YOU,,1912.96,303.92
01/06/2018,SHAW CABLESYSTEMS,103.95,,407.87
01/10/2018,SOBEYS LIQUOR #3714,73.08,,480.95
01/13/2018,22638 MACS CONV. STORES,12.55,,493.50
01/13/2018,TIM HORTONS 1234 QTH,2.19,,495.69
01/13/2018,CDN TIRE STORE #00304,46.10,,541.79
01/14/2018,TIM HORTONS 1234 QTH,2.19,,543.98
01/14/2018,THE HOME DEPOT #7117,70.40,,614.38
01/15/2018,NETFLIX.COM,10.99,,625.37
