11/17/2017,THE SHERLOCK HOLMES PUB -,76.81,,766.21
11/17/2017,TORGUARD,39.42,,805.63
11/17/2017,B SWEET,11.21,,816.84
11/18/2017,FANTASYLAND HOTEL,453.62,,1270.46
11/18/2017,FAMOUS PLAYER 3403QPS,13.61,,1284.07
11/18/2017,FAMOUS PLAYER 3403QPS,10.00,,1294.07
11/19/2017,SOBEYS LIQUOR #3714,26.43,,1320.50
11/19/2017,FREEDOM MOBILE INC,113.11,,1433.61
11/19/2017,Spotify P040CE0C3A,9.99,,1443.60
11/19/2017,Spotify P040CC88B5,9.99,,1453.59
11/20/2017,THE CO OPERATORS PL GU ON,140.50,,1594.09
11/20/2017,MUCHO BURRITO,12.34,,1606.43
11/22/2017,22585 MACS CONV. STORES,4.49,,1610.92
11/23/2017,TIM HORTONS 1234 QTH,4.69,,1615.61
11/24/2017,22638 MACS CONV. STORES,3.77,,1619.38
11/24/2017,DOMINOS 10116,29.28,,1648.66
11/25/2017,THE HOME DEPOT #7117,60.84,,1709.50
11/25/2017,CALENDAR CLUB OF CANADA #,6.29,,1715.79
11/25/2017,REXALL PHARMACY #7255,8.17,,1723.96
11/25/2017,CLAIRE'S #2598,13.13,,1737.09
11/25/2017,SAFEWAY #8904,11.90,,1748.99
11/27/2017,WENDY'S,10.12,,1759.11
11/30/2017,DOMINOS 10116,29.08,,1788.19
11/30/2017,PAYMENT - THANK YOU,,1759.11,29.08
12/03/2017,MCDONALD'S #3870,1.05,,30.13
12/04/2017,MUCHO BURRITO,9.71,,39.84
12/05/2017,CUBEDHOST #212110,30.80,,70.64
12/05/2017,HUSKY MAC'S 61ST AVE #,33.37,,104.01
12/06/2017,7 ELEVEN #37106,10.06,,114.07
12/06/2017,SHOPPERS DRUG MART #2448,6.81,,120.88
12/06/2017,SHOPPERS DRUG MART #2448,3.09,,123.97
12/06/2017,SHAW CABLESYSTEMS,103.95,,227.92
12/07/2017,THE CO OPERATORS #14048,463.81,,691.73
12/07/2017,LONDON DRUGS 23,7.62,,699.35
12/07/2017,TIM HORTONS 3222 QTH,2.19,,701.54
12/08/2017,DIRECT ENERGY,289.78,,991.32
12/08/2017,7 ELEVEN #37106,8.40,,999.72
12/09/2017,7-ELEVEN #29079 D2804,2.63,,1002.35
12/11/2017,22638 MACS CONV. STORES,8.48,,1010.83
12/11/2017,REMEDY ON 109TH ST.,11.29,,1022.12
12/15/2017,SAFEWAY #8904,8.40,,1030.52
12/15/2017,SAFEWAY #8904,7.46,,1037.98
12/15/2017,597 - WB SOUTHGATE,74.73,,1112.71
12/15/2017,NETFLIX.COM,10.99,,1123.70
12/16/2017,HUSKY MAC'S 61ST AVE #,62.04,,1185.74
12/16/2017,"BALLOON STORE, THE",40.68,,1226.42
12/16/2017,TOYS "R" US #3521,62.98,,1289.40
