01/16/2018,RED LOBSTER 8168,249.24,,874.61
01/18/2018,597 - WB SOUTHGATE,53.55,,928.16
01/18/2018,MR. MIKES STEAKHOUSE CASU,117.65,,1045.81
01/19/2018,FREEDOM MOBILE INC,156.37,,1202.18
01/19/2018,Spotify P04ACD0B23,9.99,,1212.17
01/19/2018,Spotify P04ACB80CF,9.99,,1222.16
01/19/2018,FANTASYLAND HOTEL,76.30,,1298.46
01/19/2018,STARBUCKS 04331,4.99,,1303.45
01/19/2018,SAMSUNG 1761,116.75,,1420.20
01/19/2018,NEW YORK FRIES #3330,7.35,,1427.55
01/20/2018,SAFEWAY #8904,4.29,,1431.84
01/21/2018,TIM HORTONS 1234 QTH,2.19,,1434.03
01/21/2018,THE CO OPERATORS PL GU ON,140.50,,1574.53
01/23/2018,MCDONALD'S #25014,13.42,,1587.95
01/24/2018,"WEED MAN, ALBERTA",237.22,,1825.17
01/28/2018,22638 MACS CONV. STORES,7.32,,1832.49
01/28/2018,TIM HORTONS 1234 QTH,2.19,,1834.68
01/28/2018,597 - WB SOUTHGATE,81.59,,1916.27
01/29/2018,MUCHO BURRITO,10.24,,1926.51
01/31/2018,DreamHost  dh-fee.com,17.66,,1944.17
01/31/2018,DreamHost  dh-fee.com,17.66,,1961.83
