07/16/2017,MEMORY EXPRESS EDMONTON S,144.88,,1115.09
07/17/2017,Dropbox*G5T8D41599L9,128.89,,1243.98
07/19/2017,FREEDOM MOBILE INC,105.87,,1349.85
07/19/2017,Spotify P02EF934FD,9.99,,1359.84
07/19/2017,Spotify P02EF7F87F,9.99,,1369.83
07/20/2017,STATE & MAIN SOUTHGATE,48.80,,1418.63
07/20/2017,THE CO OPERATORS PL GU ON,145.07,,1563.70
07/21/2017,WWW WOODMANFIREWOOD COM,267.75,,1831.45
07/23/2017,GREATER EDMONTON TAXI SER,52.36,,1883.81
07/23/2017,TREE HOUSE INDOOR PLAY,12.55,,1896.36
07/24/2017,PAYMENT - THANK YOU,,1418.63,477.73
07/25/2017,22638 MACS CONV. STORES,6.48,,484.21
07/29/2017,22638 MACS CONV. STORES,3.86,,488.07
07/29/2017,SAFEWAY #8904,5.75,,493.82
07/30/2017,22638 MACS CONV. STORES,4.18,,498.00
07/31/2017,MUCHO BURRITO,8.45,,506.45
08/04/2017,DOMINOS 10116,29.85,,536.30
08/05/2017,WHITEMUD CROSSING LIQOUR,35.49,,571.79
08/05/2017,SHELL SHOCK INC.,5.25,,577.04
08/05/2017,TIM HORTONS 1234 QTH,4.48,,581.52
08/06/2017,MCDONALD'S #11030,21.69,,603.21
08/06/2017,22638 MACS CONV. STORES,5.85,,609.06
08/06/2017,SHAW CABLESYSTEMS,103.95,,713.01
08/06/2017,DRI*ARENA,129.87,,842.88
08/07/2017,TIM HORTONS 1234 QTH,2.19,,845.07
08/09/2017,REDBIKE,62.95,,908.02
08/09/2017,PHARMX REXALL DRUG STORE,5.87,,913.89
08/09/2017,22638 MACS CONV. STORES,2.63,,916.52
08/10/2017,DIRECT ENERGY,206.69,,1123.21
08/10/2017,SOBEYS SWCB TRAIL SOUT,83.78,,1206.99
08/15/2017,NETFLIX.COM,9.99,,1216.98
