09/19/2017,Spotify P0377DA594,9.99,,2391.06
09/19/2017,FREEDOM MOBILE INC,99.52,,2490.58
09/19/2017,Spotify P0377C186C,9.99,,2500.57
09/19/2017,MUCHO BURRITO,8.30,,2508.87
09/20/2017,"DRI*ARENANET, LLC.",37.84,,2546.71
09/20/2017,THE CO OPERATORS PL GU ON,140.50,,2687.21
09/25/2017,PAYMENT - THANK YOU,,2687.21,0.00
09/25/2017,22638 MACS CONV. STORES,3.44,,3.44
09/30/2017,DRI*ARENA,64.23,,67.67
09/30/2017,DOMINOS 10116,30.62,,98.29
10/01/2017,TIM HORTONS 1234 QTH,3.65,,101.94
10/01/2017,THE HOME DEPOT #7117,23.99,,125.93
10/05/2017,CREDIT AND HAIR WE ARE,35.99,,161.92
10/06/2017,A&W#1591 CORNERSTONE,24.32,,186.24
10/06/2017,22638 MACS CONV. STORES,7.21,,193.45
10/06/2017,SHAW CABLESYSTEMS,103.95,,297.40
10/06/2017,HUSKY MAC'S 61ST AVE #,49.30,,346.70
10/06/2017,DIRECT ENERGY,237.81,,584.51
10/06/2017,TIM HORTONS 1234 QTH,2.19,,586.70
10/07/2017,WILKIE REDDI MART,6.10,,592.80
10/08/2017,7-ELEVEN #26341 D2811,56.64,,649.44
10/08/2017,RED ROBIN SHERWOOD PAR,50.65,,700.09
10/09/2017,REMEDY ON 109TH ST.,11.29,,711.38
10/10/2017,MUCHO BURRITO,10.24,,721.62
10/11/2017,SPIRIT HALLOWEEN C6850,186.73,,908.35
10/12/2017,YOKOZUNA JAPANESE RESTAUR,58.87,,967.22
10/14/2017,TIM HORTONS 1234 QTH,3.65,,970.87
10/15/2017,NETFLIX.COM,9.99,,980.86
