10/14/2017,THE POURHOUSE,28.93,,1009.79
10/17/2017,SPIRIT HALLOWEEN C6850,,67.16,942.63
10/19/2017,FREEDOM MOBILE INC,95.26,,1037.89
10/19/2017,Spotify P03C2180EC,9.99,,1047.88
10/19/2017,Spotify P03C1FFEDE,9.99,,1057.87
10/20/2017,THE CO OPERATORS PL GU ON,140.50,,1198.37
10/22/2017,RONA HOME & GARDEN #62800,59.60,,1257.97
10/22/2017,PARTSOURCE #721,3.14,,1261.11
10/22/2017,THE HOME DEPOT #7117,11.35,,1272.46
10/23/2017,SP * REBEL GIRLS,54.51,,1326.97
10/23/2017,SP * REBEL GIRLS,45.43,,1372.40
10/23/2017,MUCHO BURRITO,9.71,,1382.11
10/28/2017,DOMINOS 10116,70.98,,1453.09
10/30/2017,SP * REBEL GIRLS,,52.45,1400.64
10/30/2017,PAYMENT - THANK YOU,,1382.11,18.53
10/30/2017,OLD SPAGHETTI DT EDMONTON,74.84,,93.37
10/30/2017,WENDY'S,10.11,,103.48
11/04/2017,PHARMX REXALL P.O # 7255,89.25,,192.73
11/04/2017,PHARMX REXALL DRUG STORE,17.41,,210.14
11/06/2017,REMEDY ON 109TH ST.,11.29,,221.43
11/06/2017,SHAW CABLESYSTEMS,103.95,,325.38
11/10/2017,DIRECT ENERGY,219.19,,544.57
11/11/2017,SAFEWAY #8904,14.92,,559.49
11/11/2017,TIM HORTONS 1234 QTH,3.23,,562.72
11/12/2017,TIM HORTONS 1234 QTH,2.19,,564.91
11/13/2017,TIM HORTONS 1234 QTH,2.19,,567.10
11/13/2017,MCDONALD'S #29722,8.58,,575.68
11/13/2017,SOBEYS LIQUOR #3714,51.95,,627.63
11/14/2017,DRI*ARENA,26.13,,653.76
11/15/2017,NETFLIX.COM,10.99,,664.75
11/16/2017,REDBIKE,24.65,,689.40
